,gid,pid,fgxp,dist,make,season,postseason,away,stadium,temp,humidity,wind-spd,cond,surface,player id,player
2610,4086,668737,FG,22,1,2015,0,1,Ford Field,-999,-999,-999,Dome,FieldTurf,BW-0350,Blair Walsh
2611,4087,668797,FG,30,1,2015,0,0,Arrowhead Stadium,58,57,7,Sunny,Grass,CS-0250,Cairo Santos
2612,4087,668812,FG,24,1,2015,0,1,Arrowhead Stadium,58,57,7,Sunny,Grass,CB-2275,Chris Boswell
2613,4087,668826,FG,22,1,2015,0,0,Arrowhead Stadium,58,57,7,Sunny,Grass,CS-0250,Cairo Santos
2614,4087,668843,FG,27,1,2015,0,0,Arrowhead Stadium,58,57,7,Sunny,Grass,CS-0250,Cairo Santos
2615,4087,668852,FG,54,0,2015,0,0,Arrowhead Stadium,58,57,7,Sunny,Grass,CS-0250,Cairo Santos
2616,4087,668902,FG,36,1,2015,0,1,Arrowhead Stadium,58,57,7,Sunny,Grass,CB-2275,Chris Boswell
2617,4088,668945,FG,39,1,2015,0,0,Edward Jones Dome,-999,-999,-999,Dome,AstroTurf,GZ-2000,Greg Zuerlein
2618,4088,669005,FG,63,0,2015,0,0,Edward Jones Dome,-999,-999,-999,Dome,AstroTurf,GZ-2000,Greg Zuerlein
2619,4088,669022,FG,35,0,2015,0,0,Edward Jones Dome,-999,-999,-999,Dome,AstroTurf,GZ-2000,Greg Zuerlein
2620,4090,669275,FG,38,1,2015,0,0,Gillette Stadium,58,80,9,Cloudy,FieldTurf,SG-0800,Stephen Gostkowski
2621,4090,669291,FG,20,1,2015,0,1,Gillette Stadium,58,80,9,Cloudy,FieldTurf,NF-0300,Nick Folk
2622,4090,669348,FG,46,1,2015,0,0,Gillette Stadium,58,80,9,Cloudy,FieldTurf,SG-0800,Stephen Gostkowski
