,gid,pid,fgxp,dist,make,season,postseason,away,stadium,temp,humidity,wind-spd,cond,surface,player id,player
2450,4044,661571,FG,29,1,2015,0,1,Soldier Field,55,83,12,Cloudy,Grass,SJ-0300,Sebastian Janikowski
2451,4044,661603,FG,54,1,2015,0,0,Soldier Field,55,83,12,Cloudy,Grass,RG-1500,Robbie Gould
2452,4044,661628,FG,41,1,2015,0,1,Soldier Field,55,83,12,Cloudy,Grass,SJ-0300,Sebastian Janikowski
2453,4044,661641,FG,49,1,2015,0,0,Soldier Field,55,83,12,Cloudy,Grass,RG-1500,Robbie Gould
2454,4045,661734,FG,53,0,2015,0,1,Georgia Dome,-999,-999,-999,Dome,AstroTurf,NN-0200,Nick Novak
2455,4046,661848,FG,22,1,2015,0,1,Paul Brown Stadium,68,64,5,Sunny,UBU Speed Series S5M,CS-0250,Cairo Santos
2456,4046,661865,FG,40,1,2015,0,1,Paul Brown Stadium,68,64,5,Sunny,UBU Speed Series S5M,CS-0250,Cairo Santos
2457,4046,661881,FG,51,1,2015,0,1,Paul Brown Stadium,68,64,5,Sunny,UBU Speed Series S5M,CS-0250,Cairo Santos
2458,4046,661887,FG,44,0,2015,0,0,Paul Brown Stadium,68,64,5,Sunny,UBU Speed Series S5M,MN-0800,Mike Nugent
2459,4046,661897,FG,34,1,2015,0,1,Paul Brown Stadium,68,64,5,Sunny,UBU Speed Series S5M,CS-0250,Cairo Santos
2460,4046,661925,FG,40,1,2015,0,1,Paul Brown Stadium,68,64,5,Sunny,UBU Speed Series S5M,CS-0250,Cairo Santos
2461,4046,661960,FG,29,1,2015,0,1,Paul Brown Stadium,68,64,5,Sunny,UBU Speed Series S5M,CS-0250,Cairo Santos
2462,4046,661977,FG,51,1,2015,0,1,Paul Brown Stadium,68,64,5,Sunny,UBU Speed Series S5M,CS-0250,Cairo Santos
2463,4047,662045,FG,46,1,2015,0,0,Qualcomm Stadium,68,78,11,Cloudy,Grass,JL-0207,Josh Lambo
2464,4047,662075,FG,45,1,2015,0,0,Qualcomm Stadium,68,78,11,Cloudy,Grass,JL-0207,Josh Lambo
2465,4047,662166,FG,34,1,2015,0,0,Qualcomm Stadium,68,78,11,Cloudy,Grass,JL-0207,Josh Lambo
2466,4048,662226,FG,33,1,2015,0,0,Levi's Stadium,74,36,5,Sunny,Grass,PD-0200,Phil Dawson
2467,4048,662242,FG,44,0,2015,0,1,Levi's Stadium,74,36,5,Sunny,Grass,MC-3000,Mason Crosby
2468,4048,662275,FG,31,1,2015,0,1,Levi's Stadium,74,36,5,Sunny,Grass,MC-3000,Mason Crosby
2469,4049,662343,FG,21,1,2015,0,0,University of Phoenix Stadium,-999,-999,-999,Closed Roof,Grass,CC-1150,Chandler Catanzaro
2470,4049,662362,FG,27,1,2015,0,0,University of Phoenix Stadium,-999,-999,-999,Closed Roof,Grass,CC-1150,Chandler Catanzaro
2471,4049,662378,FG,30,1,2015,0,1,University of Phoenix Stadium,-999,-999,-999,Closed Roof,Grass,GZ-2000,Greg Zuerlein
